Genre,Demo,Geo,Medium,Publisher,Platform,Section,Ad Unit,Deal Type,Targeting,Est Imp,CTR,Est Clicks,VTR,Est Video Views,eCPM ,eCPC ,Net Unit Cost,Total Net Cost,% Allocation,Duplication,Reach,Effective Reach,Audience Pool,% Reach,Avg. Freq,Start Date,End Date,Days,Reach T,Freq,Imp F,Budget T,Unnamed: 36,PG possibility,DV CPM,Total_Days,Campaign Name,Phase/inputs
Entertainment,25-44,Hyderabad,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",1866000.0,0.004,7464.0,0.35,653100.0,105.0,26.25,0.3,195930.0,0.016867017264539368,0.8,1244000.0,248799.99999999994,3110000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,1244000.0,1.5,1866000.0,195930.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Hyderabad,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",2488000.0,0.004,9952.0,0.85,2114800.0,60.0,15.0,60.0,149280.0,0.012851060772982377,0.9,1244000.0,124399.99999999997,3110000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,1555000.0,2.0,3110000.0,186600.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Hyderabad,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,1830634.7999999998,0.003,5491.904399999999,0.85,1556039.5799999998,285.0,95.0,285.0,521730.91799999995,0.04491422651635774,1.0,1220423.2,0.0,3051058.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Kolkata,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",756000.0,0.004,3024.0,0.35,264600.0,105.0,26.25,0.3,79380.0,0.006833582557337493,0.8,504000.0,100799.99999999997,1260000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,504000.0,1.5,756000.0,79380.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Kolkata,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",1008000.0,0.004,4032.0,0.85,856800.0,60.0,15.0,60.0,60480.0,0.005206539091304757,0.9,504000.0,50399.999999999985,1260000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,630000.0,2.0,1260000.0,75600.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Kolkata,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,916590.6000000001,0.003,2749.7718000000004,0.85,779102.01,285.0,95.0,285.0,261228.32100000003,0.0224883509431615,1.0,611060.4,0.0,1527651.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Pune,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",1140000.0,0.004,4560.0,0.35,399000.0,105.0,26.25,0.3,119700.0,0.01030460861820733,0.8,760000.0,151999.99999999997,1900000.0,0.4,1.5,2024-07-02,2024-07-09,8.0,760000.0,1.5,1140000.0,119700.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Pune,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",1520000.0,0.004,6080.0,0.85,1292000.0,60.0,15.0,60.0,91200.0,0.007851130375777015,0.9,760000.0,75999.99999999999,1900000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,950000.0,2.0,1900000.0,114000.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Pune,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,638225.4,0.003,1914.6762,0.85,542491.59,285.0,95.0,285.0,181894.239,0.01565872132666386,1.0,425483.60000000003,0.0,1063709.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Thane & Nagpur,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",1174756.1201453432,0.004,4699.024480581373,0.35,411164.6420508701,104.99999999999999,26.249999999999996,0.3,123349.39261526102,0.010618773719246938,0.8,783170.7467635621,156634.14935271238,1957926.866908905,0.4,1.5,2024-07-02,2024-07-09,8.0,783170.7467635621,1.5,1174756.1201453432,123349.39261526105,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
