Date,day,geocity,cyplannedimpressions24,lyplannedimpressions,cydeliveredimpressions24,lydeliveredimpressions,deliveredimpressionpercent,lydeliveredimpressionpercent,deliveredimpressionsvsly,cyplannedviews24,lyplannedviews,cydeliveredviews24,lydeliveredviews,deliveredviewspercent,lydeliveredviewspercent,deliveredviewsvsly,plannedctr,lyplannedctr,deliveredctr,lydeliveredctr,deliveredctrpercent,lydeliveredctrpercent,deliveredctrvsly,plannedvtr,lyplannedvtr,deliveredvtr,lydeliveredvtr,deliveredvtrpercent,lydeliveredvtrpercent,deliveredvtrvsly,cyplannedclicks24,lyplannedclicks,cydeliveredclicks24,lydeliveredclicks,deliveredclickspercent,lydeliveredclickspercent,deliveredclicksvsly,cyplannedspends24,lyplannedspends,cydeliveredspends24,lydeliveredspends,deliveredspendspercent,lydeliveredspendspercent,deliveredspendsvsly
2024-07-17,T-3,Kolkata,514596.404166264,458592.50800000015,468700.0,,0.9108108727642118,,1.0,421026.9440453244,383053.93180000014,423913.0,,1.0068548010893215,,1.0,0.0028408461527967875,0.0029265811526660765,0.002626413484104971,,,,,0.8181692305593575,0.835281704602117,0.9044442073821207,,,,,1461.889215018792,1342.1081906666673,1231.0,,0.8420610723119508,,,40027.551268383,47782.64683333335,29905.988461,,0.7471350985345478,,
2024-07-17,T-3,Lucknow,,91428.0,,,,,,,68572.0,,,,,,,0.0024937655860349127,,,,,,,0.7500109375683598,,,,,,,228.0,,,,,,,9600.0,,,,,
2024-07-17,T-3,Madurai,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-17,T-3,Maharashtra,,789115.6462585034,,,,,,,0.0,,,,,,,0.0024827586206896553,,,,,,,0.0,,,,,,,1959.183673469388,,,,,,,57142.857142857145,,,,,
2024-07-17,T-3,Metros,10212221.908,1071428.5714285714,2868918.0,,0.28092985305700824,,1.0,2463499.9242,876428.5714285715,2685183.0,,1.0899870438891894,,1.0,0.028288543140028294,0.00204,0.0001314084264520631,,,,,0.2412305516265912,0.8180000000000001,0.9359566916865523,,,,,288888.88000000006,2185.714285714286,377.0,,0.001305000040153847,,,367466.65536,131571.42857142858,265134.439982,,0.7215197246189669,,
2024-07-17,T-3,Mumbai,1864335.835969152,1529115.4242424243,1411277.0,,0.7569864681951818,,1.0,1509155.462897779,1204935.9015151514,1292123.0,,0.8561894594470422,,1.0,0.002797434571017789,0.0026900881137280216,0.0038404933971148115,,,,,0.8094869142035577,0.7879953876680811,0.9155700829815834,,,,,5215.357519527456,4113.455227272727,5420.0,,1.0392384375771588,,,141461.857313994,139152.03,103163.991032,,0.7292707235068558,,
2024-07-17,T-3,PAN India,2678571.4285714286,623333.3333333333,0.0,,0.0,,,0.0,0.0,0.0,,,,,0.0030000000000000005,0.0030000000000000005,,,,,,0.0,0.0,,,,,,8035.714285714287,1870.0,0.0,,0.0,,,107142.85714285712,112200.0,0.0,,0.0,,
2024-07-17,T-3,Panjim,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-17,T-3,Patna,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-17,T-3,Pune,318604.770196776,300353.87200000003,432882.0,,1.3586802223100563,,1.0,260089.05499725958,249408.91620000004,395604.0,,1.5210328631636125,,1.0,0.0028316880242663027,0.0029047373692588853,0.0029754066928169803,,,,,0.8163376048532603,0.8303835557012563,0.9138841531872427,,,,,902.189312240328,872.4491160000001,1288.0,,1.427638282259875,,,28087.679969097,29215.629833333336,25614.009735,,0.9119304180046691,,
2024-07-17,T-3,Punjab C2,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-17,T-3,Ranchi,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-17,T-3,TamilNadu,,653594.7712418301,,,,,,,0.0,,,,,,,0.002,,,,,,,0.0,,,,,,,1307.1895424836603,,,,,,,57142.857142857145,,,,,
2024-07-17,T-3,Thiruvananthapuram,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-17,T-3,UP C2,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-17,T-3,Varanasi,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-17,T-3,Vizag,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-17,T-3,Vijaywada,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-17,T-3,"C1, C2 & Metros",,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,
2024-07-17,T-3,"Bhubaneswar, Lucknow",328607.64081794815,160630.34947166377,338435.0,,1.0299060580502335,,1.0,269118.32653194026,130933.08874693289,303152.0,,1.1264636039716918,,1.0,0.0028448275862068963,0.002826287238920383,0.0031882045296733495,,,,,0.8189655172413792,0.8151204873648757,0.8957465983128222,,,,,934.8320816372662,453.9875068950848,1079.0,,1.1542179833090858,,,15750.504163343032,12158.76637175809,14675.811676000001,,0.9317677404991125,,
2024-07-17,T-3,"Chandigarh,Jaipur",488852.46065116953,238961.21424505318,480283.0,,0.9824702515770204,,1.0,400353.3082919061,194781.5350206071,425163.0,,1.0619694934305492,,1.0,0.0028448275862068963,0.0028277998702211605,0.004393243150392581,,,,,0.8189655172413793,0.8151177823396054,0.8852343305925882,,,,,1390.7009656455684,675.7344906300523,2110.0,,1.5172204896115322,,,23431.204148452613,18088.389877496185,21893.496318,,0.9343735037811037,,
2024-07-17,T-3,"Coimbatore, Vizag",171350.74307675258,108764.67249999999,204756.0,,1.194952506907334,,1.0,138742.84935270995,88655.51204166666,182087.0,,1.3124063751718202,,1.0,0.0027985044552903777,0.002823772761172368,0.003208697181034988,,,,,0.8097008910580756,0.8151131245457175,0.889287737599875,,,,,479.52581791760895,307.1267195833333,657.0,,1.3701034969359758,,,10664.748102326392,8232.9771625,9553.540654,,0.8958055607441873,,
2024-07-17,T-3,"Indore,Patna",176495.014569384,104248.075,256346.0,,1.4524262944505149,,1.0,143402.19933762448,84974.99291666666,230299.0,,1.6059656062720955,,1.0,0.0028125,0.002824495360385951,0.003304128014480429,,,,,0.8124999999999999,0.8151228971534166,0.8983912368439531,,,,,496.39222847639246,294.44820416666664,847.0,,1.7063119674531364,,,10222.00292714349,7891.8997083333325,9512.067221,,0.9305482779447921,,
2024-07-17,T-3,RO C1,8710154.968967445,987113.7042857145,1642546.0,,0.18857827511130004,,1.0,1238743.0244223287,827617.1022142859,1526483.0,,1.232283831194008,,1.0,0.033390781332387466,0.0026532338256768173,0.002141188131108657,,,,,0.14221825315803502,0.8384212463276032,0.929339574051503,,,,,290838.8799400001,2619.043470000001,3517.0,,0.01209260605296498,,,244795.52678449638,122435.62104285716,172274.692706,,0.7037493493811288,,
2024-07-17,T-3,Thane & Nagpur,530271.8434717712,300681.5450545036,506586.0,,0.9553326397330539,,1.0,431641.2805860217,245090.09412663343,459328.0,,1.064142890541862,,1.0,0.00282,0.002826568130392947,0.003438705372829095,,,,,0.814,0.8151151880046602,0.9067127792714367,,,,,1495.366598590395,849.896872648371,1742.0,,1.1649317308826435,,,29483.11449703048,23810.093246602275,27690.318741,,0.9391924568820214,,
2024-07-17,T-3,C1 Geos,11642422.471624201,25664393.95,7195839.0,,0.6180705963503942,,1.0,3751115.4349283813,720953.8800705468,1761470.0,,0.46958565540215935,,1.0,0.010295730619645225,0.01701210112541933,0.019554078405589675,,,,,0.3221937224895322,0.028091599648724486,0.24479007937781821,,,,,119867.24552794693,436605.2652,140708.0,,1.173865298900141,,,1331651.0036074042,2236098.19,794226.27716979,,0.5964222420275688,,
