Date,day,geocity,cyplannedimpressions24,lyplannedimpressions,cydeliveredimpressions24,lydeliveredimpressions,deliveredimpressionpercent,lydeliveredimpressionpercent,deliveredimpressionsvsly,cyplannedviews24,lyplannedviews,cydeliveredviews24,lydeliveredviews,deliveredviewspercent,lydeliveredviewspercent,deliveredviewsvsly,plannedctr,lyplannedctr,deliveredctr,lydeliveredctr,deliveredctrpercent,lydeliveredctrpercent,deliveredctrvsly,plannedvtr,lyplannedvtr,deliveredvtr,lydeliveredvtr,deliveredvtrpercent,lydeliveredvtrpercent,deliveredvtrvsly,cyplannedclicks24,lyplannedclicks,cydeliveredclicks24,lydeliveredclicks,deliveredclickspercent,lydeliveredclickspercent,deliveredclicksvsly,cyplannedspends24,lyplannedspends,cydeliveredspends24,lydeliveredspends,deliveredspendspercent,lydeliveredspendspercent,deliveredspendsvsly
2024-07-02,T-18,Metros,1278700.0,,4395547.0,,3.4375146633299445,,,330225.0,,1841056.0,,5.575156332803392,,,0.011076874951122233,,0.013617181012615031,,1.229334182492999,,,0.2582505669820912,,0.41884542321211227,,1.6218567421041046,,,14164.0,,78796.0,,4.225854278452415,,,128903.5,,232165.11,,1.8010776520837788,,
2024-07-02,T-18,Mumbai,452217.41000000003,,1057562.0,,2.3224183252918102,,,297234.8,,875438.0,,2.9248728762154,,,0.0038993461795290008,,0.0042952168936945725,,1.1015223311651157,,,0.6572829615294997,,0.8277876062378242,,1.2594082833237599,,,1763.35,,4546.0,,2.558195647616018,,,51590.4,,80438.86,,1.5187227815260609,,
2024-07-02,T-18,PAN India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Panjim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Patna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Pune,148955.64,,477005.0,,3.2514983404286784,,,98112.29000000001,,362384.0,,3.755370514120531,,,0.0038928833071672645,,0.004845879557077937,,1.244804730765007,,,0.6586678627498718,,0.7607390843827233,,1.1549661481990552,,,579.87,,2312.0,,4.047480516240188,,,17326.14,,26418.91,,1.6452737285564227,,
2024-07-02,T-18,Punjab C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Ranchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Tamil Nadu C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Thiruvananthapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,UP C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Varanasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Vizag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,Vijaywada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,"C1, C2 & Metros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-02,T-18,"Bhubaneswar, Lucknow",107517.62,,438271.0,,4.076271405561247,,,68350.48,,323428.0,,4.7319048363181455,,,0.004,,0.0054464018837659806,,1.361600470941495,,,0.6357142857142848,,0.737963497470743,,1.1608414566955525,,,430.07,,2387.0,,5.550253065497544,,,8524.61,,21321.36,,2.501153543036032,,
2024-07-02,T-18,"Chandigarh,Jaipur",108922.03,,434133.0,,3.9857223740940597,,,69243.3,,316891.0,,4.5764864332044715,,,0.003999999999999998,,0.006276878283843891,,1.5692195709609733,,,0.6357142857142855,,0.7299399032093852,,1.1482200724642018,,,435.68,,2725.0,,6.254473553845433,,,8635.96,,21600.53,,2.501230084994895,,
2024-07-02,T-18,"Coimbatore, Vizag",50107.54,,137612.0,,2.746333186582299,,,31854.08,,111604.0,,3.503601532475638,,,0.004,,0.00499229718338517,,1.2480742958462925,,,0.6357142857142856,,0.811004854227829,,1.2757379729426526,,,200.43,,687.0,,3.427627858003007,,,3972.8100000000004,,6283.950000000001,,1.5817384879592005,,
2024-07-02,T-18,"Indore,Patna",111300.0,,452386.0,,4.064564240790656,,,70755.0,,325291.0,,4.597427743622359,,,0.004,,0.0060501430194568355,,1.5125357548642089,,,0.6357142857142857,,0.7190562926350506,,1.1310997861674954,,,445.20000000000005,,2737.0,,6.147798742138364,,,8824.5,,22279.53,,2.5247354945889287,,
2024-07-02,T-18,ROC1,890370.5,,2195557.0,,2.4658992893765963,,,169244.52000000002,,456796.0,,2.699029845144691,,,0.014250584338874687,,0.02906178093647008,,2.0393395979694247,,,0.1900832459941494,,0.2080540580916794,,1.0945417993234559,,,12688.3,,63805.0,,5.0288060654303575,,,81050.17,,94343.04,,1.1640099949153793,,
