Date,Publisher,Identifiers,Accrual Campaign Name,Device,Line Item Name,Concept Name,Geo,Geo_City,Geo_Target,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2024-09-13,PMP OTT,Jupiter,Jupiter,,AP+Te_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Teleg_NA_CPM,Exchange,AP+Te,,,,,,,,,1705,0.0,nan,nan,nan,1603,1523.0,1418.0,1297,460.35
2024-09-13,PMP OTT,Jupiter,Jupiter,,AP+Te_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Teleg_NA_CPM,NCEMI,AP+Te,,,,,,,,,1735,0.0,nan,nan,nan,1606,1522.0,1396.0,1257,468.45
2024-09-13,PMP OTT,Jupiter,Jupiter,,HSM (_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Hingl_NA_CPM,Exchange,HSM,,,,,,,,,3809,0.0,nan,nan,nan,3586,3418.0,3215.0,2960,1028.43
2024-09-13,PMP OTT,Jupiter,Jupiter,,HSM (_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Hingl_NA_CPM,NCEMI,HSM,,,,,,,,,3854,0.0,nan,nan,nan,3623,3440.0,3167.0,2875,1040.58
2024-09-13,PMP OTT,Jupiter,Jupiter,,KER_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Malay_NA_CPM,Exchange,KER,,,,,,,,,426,0.0,nan,nan,nan,406,378.0,344.0,331,115.02
2024-09-13,PMP OTT,Jupiter,Jupiter,,KER_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Malay_NA_CPM,NCEMI,KER,,,,,,,,,444,0.0,nan,nan,nan,402,378.0,343.0,331,119.88
2024-09-13,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,Exchange,MH+Go,,,,,,,,,647,0.0,nan,nan,nan,613,588.0,543.0,470,174.69
2024-09-13,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,Exchange,MH+Go,,,,,,,,,587,0.0,nan,nan,nan,545,533.0,501.0,446,158.49
2024-09-13,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,NCEMI,MH+Go,,,,,,,,,626,0.0,nan,nan,nan,597,577.0,550.0,460,169.02
2024-09-13,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,NCEMI,MH+Go,,,,,,,,,599,0.0,nan,nan,nan,557,540.0,515.0,442,161.73
2024-09-13,PMP OTT,Jupiter,Jupiter,,Metro_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Hingl_NA_CPM,Exchange,Metro,,,,,,,,,6813,0.0,nan,nan,nan,6402,6048.0,5624.0,5266,1839.51
2024-09-13,PMP OTT,Jupiter,Jupiter,,Metro_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Hingl_NA_CPM,NCEMI,Metro,,,,,,,,,6817,0.0,nan,nan,nan,6451,6100.0,5679.0,5340,1840.59
2024-09-13,PMP OTT,Jupiter,Jupiter,,TN (E_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Tamil_NA_CPM,Exchange,TN,,,,,,,,,318,0.0,nan,nan,nan,302,288.0,267.0,259,85.86
2024-09-13,PMP OTT,Jupiter,Jupiter,,TN (E_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Tamil_NA_CPM,NCEMI,TN,,,,,,,,,314,0.0,nan,nan,nan,296,283.0,261.0,256,84.78
2024-09-13,PMP OTT,Jupiter,Jupiter,,UP+UK_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Hingl_NA_CPM,Exchange,UP+UK,,,,,,,,,2807,0.0,nan,nan,nan,2676,2554.0,2403.0,2258,757.89
2024-09-13,PMP OTT,Jupiter,Jupiter,,UP+UK_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Hingl_NA_CPM,NCEMI,UP+UK,,,,,,,,,2947,0.0,nan,nan,nan,2798,2688.0,2525.0,2368,795.69
2024-09-14,PMP OTT,Jupiter,Jupiter,,AP+Te_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Teleg_NA_CPM,Exchange,AP+Te,,,,,,,,,4815,0.0,nan,nan,nan,4436,4174.0,3941.0,3226,1300.05
2024-09-14,PMP OTT,Jupiter,Jupiter,,AP+Te_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Teleg_NA_CPM,NCEMI,AP+Te,,,,,,,,,4892,0.0,nan,nan,nan,4528,4294.0,4037.0,3360,1320.84
2024-09-14,PMP OTT,Jupiter,Jupiter,,HSM (_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Hingl_NA_CPM,Exchange,HSM,,,,,,,,,22346,0.0,nan,nan,nan,21529,20868.0,20141.0,18557,6033.42
2024-09-14,PMP OTT,Jupiter,Jupiter,,HSM (_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Hingl_NA_CPM,NCEMI,HSM,,,,,,,,,22366,0.0,nan,nan,nan,21549,20939.0,20186.0,18636,6038.82
2024-09-14,PMP OTT,Jupiter,Jupiter,,KER_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Malay_NA_CPM,Exchange,KER,,,,,,,,,1643,0.0,nan,nan,nan,1502,1402.0,1278.0,1215,443.61
2024-09-14,PMP OTT,Jupiter,Jupiter,,KER_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Malay_NA_CPM,NCEMI,KER,,,,,,,,,1786,0.0,nan,nan,nan,1646,1547.0,1450.0,1388,482.22
2024-09-14,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,Exchange,MH+Go,,,,,,,,,2778,0.0,nan,nan,nan,2679,2619.0,2537.0,2072,750.06
2024-09-14,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,Exchange,MH+Go,,,,,,,,,2770,0.0,nan,nan,nan,2691,2619.0,2560.0,2123,747.9
2024-09-14,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,NCEMI,MH+Go,,,,,,,,,2701,0.0,nan,nan,nan,2611,2552.0,2474.0,2036,729.27
2024-09-14,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,NCEMI,MH+Go,,,,,,,,,2604,0.0,nan,nan,nan,2521,2463.0,2378.0,1944,703.08
2024-09-14,PMP OTT,Jupiter,Jupiter,,Metro_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Hingl_NA_CPM,Exchange,Metro,,,,,,,,,24578,0.0,nan,nan,nan,23618,22816.0,22010.0,19454,6636.06
