Date,Publisher,Identifiers,Accrual Campaign Name,Device,Line Item Name,Concept Name,Geo,Geo_City,Geo_Target,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2024-09-13,PMP OTT,Jupiter,Jupiter,,AP+Te_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Teleg_NA_CPM,Exchange,AP+Te,,,,,,,,,1705,0,nan,nan,nan,1603,1523,1418,1297,460.35
2024-09-13,PMP OTT,Jupiter,Jupiter,,AP+Te_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Teleg_NA_CPM,NCEMI,AP+Te,,,,,,,,,1735,0,nan,nan,nan,1606,1522,1396,1257,468.45
2024-09-13,PMP OTT,Jupiter,Jupiter,,HSM (_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Hingl_NA_CPM,Exchange,HSM,,,,,,,,,3809,0,nan,nan,nan,3586,3418,3215,2960,1028.43
2024-09-13,PMP OTT,Jupiter,Jupiter,,HSM (_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Hingl_NA_CPM,NCEMI,HSM,,,,,,,,,3854,0,nan,nan,nan,3623,3440,3167,2875,1040.58
2024-09-13,PMP OTT,Jupiter,Jupiter,,KER_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Malay_NA_CPM,Exchange,KER,,,,,,,,,426,0,nan,nan,nan,406,378,344,331,115.02
2024-09-13,PMP OTT,Jupiter,Jupiter,,KER_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Malay_NA_CPM,NCEMI,KER,,,,,,,,,444,0,nan,nan,nan,402,378,343,331,119.88
2024-09-13,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,Exchange,MH+Go,,,,,,,,,647,0,nan,nan,nan,613,588,543,470,174.69
2024-09-13,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,Exchange,MH+Go,,,,,,,,,587,0,nan,nan,nan,545,533,501,446,158.49
2024-09-13,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,NCEMI,MH+Go,,,,,,,,,626,0,nan,nan,nan,597,577,550,460,169.02
2024-09-13,PMP OTT,Jupiter,Jupiter,,MH+Go_NA_Enter_PMP OTT_CTV_Midro_ViAd_20 se_NC(2Ex(2_Marat_NA_CPM,NCEMI,MH+Go,,,,,,,,,599,0,nan,nan,nan,557,540,515,442,161.73
