Date,Publisher,Identifiers,Accrual Campaign Name,Device,Line Item Name,Concept Name,Geo,Geo_City,Geo_Target,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2024-08-23,Mygate,aa,aa,,Utili_18+_Mumba_Displ_MyGate_Mobil_PAC_Funct_PA-3DahiSO(22627Au_CPM_Ni,#Sachmeintoomuch,Mumbai ,,,,,,,,,203900,2514,nan,nan,nan,162330.75,324661.5,486992.25,649323.0,83599.0
2024-08-25,Mygate,aa,aa,,Utili_18+_Delhi_Displ_MyGate_Mobil_PAC_Funct_PA-3DahiSO(22627Au_CPM_Ni,#Sachmeintoomuch,Delhi NCR,,,,,,,,,461000,6803,nan,nan,nan,315354.0,630708.0,946062.0,1261416.0,189010.0
2024-08-23,Nobrokerhood,aa,aa,,Utili_18+_Delhi_Displ_Nobrokerhood_Mobil_PAS_Funct_PA-6Dahi10SO(22425Au&8t9t10Se)_CPM_Ni,,Delhi NCR- Gurgaon- Noida,,,,,,,,,146178,2244,nan,nan,nan,nan,nan,nan,nan,nan
2024-08-23,Nobrokerhood,aa,aa,,Utili_18+_Mumba_Displ_Nobrokerhood_Mobil_PAS_Funct_PA-6Dahi10SO(22425Au&8t9t10Se)_CPM_Ni,,Mumbai,,,,,,,,,81735,1695,nan,nan,nan,nan,nan,nan,nan,nan
2024-08-23,Nobrokerhood,aa,aa,,Utili_18+_Pune_Displ_Nobrokerhood_Mobil_PAS_Funct_PA-6Dahi10SO(22425Au&8t9t10Se)_CPM_Ni,,Pune,,,,,,,,,87754,1706,nan,nan,nan,nan,nan,nan,nan,nan
2024-08-23,Nobrokerhood,aa,aa,,Utili_18+_Chenn_Displ_Nobrokerhood_Mobil_PAS_Funct_PA-6Dahi10SO(22425Au&8t9t10Se)_CPM_Ni,,Chennai,,,,,,,,,20328,392,nan,nan,nan,nan,nan,nan,nan,nan
2024-08-24,Nobrokerhood,aa,aa,,Utili_18+_Delhi_Displ_Nobrokerhood_Mobil_PAS_Funct_PA-6Dahi10SO(22425Au&8t9t10Se)_CPM_Ni,,Delhi NCR- Gurgaon- Noida,,,,,,,,,175146,3281,nan,nan,nan,nan,nan,nan,nan,nan
2024-08-24,Nobrokerhood,aa,aa,,Utili_18+_Mumba_Displ_Nobrokerhood_Mobil_PAS_Funct_PA-6Dahi10SO(22425Au&8t9t10Se)_CPM_Ni,,Mumbai,,,,,,,,,111828,2558,nan,nan,nan,nan,nan,nan,nan,nan
2024-08-24,Nobrokerhood,aa,aa,,Utili_18+_Pune_Displ_Nobrokerhood_Mobil_PAS_Funct_PA-6Dahi10SO(22425Au&8t9t10Se)_CPM_Ni,,Pune,,,,,,,,,117815,3351,nan,nan,nan,nan,nan,nan,nan,nan
2024-08-24,Nobrokerhood,aa,aa,,Utili_18+_Chenn_Displ_Nobrokerhood_Mobil_PAS_Funct_PA-6Dahi10SO(22425Au&8t9t10Se)_CPM_Ni,,Chennai,,,,,,,,,46948,806,nan,nan,nan,nan,nan,nan,nan,nan
2024-08-25,Nobrokerhood,aa,aa,,Utili_18+_Delhi_Displ_Nobrokerhood_Mobil_PAS_Funct_PA-6Dahi10SO(22425Au&8t9t10Se)_CPM_Ni,,Delhi NCR- Gurgaon- Noida,,,,,,,,,224468,3902,nan,nan,nan,nan,nan,nan,nan,nan
2024-08-25,Nobrokerhood,aa,aa,,Utili_18+_Mumba_Displ_Nobrokerhood_Mobil_PAS_Funct_PA-6Dahi10SO(22425Au&8t9t10Se)_CPM_Ni,,Mumbai,,,,,,,,,123352,2700,nan,nan,nan,nan,nan,nan,nan,nan
