Genre,Demo,Geo,Medium,Publisher,Platform,Section,Ad Unit,Deal Type,Targeting,Est Imp,CTR,Est Clicks,VTR,Est Video Views,eCPM ,eCPC ,Net Unit Cost,Total Net Cost,% Allocation,Duplication,Reach,Effective Reach,Audience Pool,% Reach,Avg. Freq,Start Date,End Date,Days,Reach T,Freq,Imp F,Budget T,Unnamed: 36,PG possibility,DV CPM,Total_Days,Campaign Name,Phase/inputs
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",581000.0,0.004,2324.0,0.85,493850.0,60.0,15.0,60.0,34860.0,0.02400793025434971,0.9,2324000.0,232399.99999999994,5810000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,2905000.0,2.0,5810000.0,348600.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",581000.0,0.004,2324.0,0.85,493850.0,60.0,15.0,60.0,34860.0,0.02400793025434971,0.9,2324000.0,232399.99999999994,5810000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,2905000.0,2.0,5810000.0,348600.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",581000.0,0.004,2324.0,0.85,493850.0,60.0,15.0,60.0,34860.0,0.02400793025434971,0.9,2324000.0,232399.99999999994,5810000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,2905000.0,2.0,5810000.0,348600.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",581000.0,0.004,2324.0,0.85,493850.0,60.0,15.0,60.0,34860.0,0.02400793025434971,0.9,2324000.0,232399.99999999994,5810000.0,0.4,2.0,2024-07-02,2024-07-09,8.0,2905000.0,2.0,5810000.0,348600.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,227587.05000000002,0.003,682.76115,0.85,193448.99250000002,285.0,95.0,285.0,64862.309250000006,0.04467039003471206,1.0,1213797.6,0.0,3034494.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,227587.05000000002,0.003,682.76115,0.85,193448.99250000002,285.0,95.0,285.0,64862.309250000006,0.04467039003471206,1.0,1213797.6,0.0,3034494.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,227587.05000000002,0.003,682.76115,0.85,193448.99250000002,285.0,95.0,285.0,64862.309250000006,0.04467039003471206,1.0,1213797.6,0.0,3034494.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,227587.05000000002,0.003,682.76115,0.85,193448.99250000002,285.0,95.0,285.0,64862.309250000006,0.04467039003471206,1.0,1213797.6,0.0,3034494.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,227587.05000000002,0.003,682.76115,0.85,193448.99250000002,285.0,95.0,285.0,64862.309250000006,0.04467039003471206,1.0,1213797.6,0.0,3034494.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,227587.05000000002,0.003,682.76115,0.85,193448.99250000002,285.0,95.0,285.0,64862.309250000006,0.04467039003471206,1.0,1213797.6,0.0,3034494.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,227587.05000000002,0.003,682.76115,0.85,193448.99250000002,285.0,95.0,285.0,64862.309250000006,0.04467039003471206,1.0,1213797.6,0.0,3034494.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Mumbai,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,227587.05000000002,0.003,682.76115,0.85,193448.99250000002,285.0,95.0,285.0,64862.309250000006,0.04467039003471206,1.0,1213797.6,0.0,3034494.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",584775.0,0.004,2339.1,0.35,204671.25,105.0,26.25,0.3,61401.375,0.04228685968219082,0.8,3118800.0,623759.9999999999,7796999.999999999,0.4,1.5,2024-07-02,2024-07-09,8.0,3118800.0,1.5,4678200.0,491211.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",584775.0,0.004,2339.1,0.35,204671.25,105.0,26.25,0.3,61401.375,0.04228685968219082,0.8,3118800.0,623759.9999999999,7796999.999999999,0.4,1.5,2024-07-02,2024-07-09,8.0,3118800.0,1.5,4678200.0,491211.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",584775.0,0.004,2339.1,0.35,204671.25,105.0,26.25,0.3,61401.375,0.04228685968219082,0.8,3118800.0,623759.9999999999,7796999.999999999,0.4,1.5,2024-07-02,2024-07-09,8.0,3118800.0,1.5,4678200.0,491211.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",584775.0,0.004,2339.1,0.35,204671.25,105.0,26.25,0.3,61401.375,0.04228685968219082,0.8,3118800.0,623759.9999999999,7796999.999999999,0.4,1.5,2024-07-02,2024-07-09,8.0,3118800.0,1.5,4678200.0,491211.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",584775.0,0.004,2339.1,0.35,204671.25,105.0,26.25,0.3,61401.375,0.04228685968219082,0.8,3118800.0,623759.9999999999,7796999.999999999,0.4,1.5,2024-07-02,2024-07-09,8.0,3118800.0,1.5,4678200.0,491211.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",584775.0,0.004,2339.1,0.35,204671.25,105.0,26.25,0.3,61401.375,0.04228685968219082,0.8,3118800.0,623759.9999999999,7796999.999999999,0.4,1.5,2024-07-02,2024-07-09,8.0,3118800.0,1.5,4678200.0,491211.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",584775.0,0.004,2339.1,0.35,204671.25,105.0,26.25,0.3,61401.375,0.04228685968219082,0.8,3118800.0,623759.9999999999,7796999.999999999,0.4,1.5,2024-07-02,2024-07-09,8.0,3118800.0,1.5,4678200.0,491211.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Instream,Skippable 31 Sec,CPV,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",584775.0,0.004,2339.1,0.35,204671.25,105.0,26.25,0.3,61401.375,0.04228685968219082,0.8,3118800.0,623759.9999999999,7796999.999999999,0.4,1.5,2024-07-02,2024-07-09,8.0,3118800.0,1.5,4678200.0,491211.0,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",779700.0,0.004,3118.8,0.85,662745.0,60.0,15.0,60.0,46782.0,0.03221855975785967,0.9,3118800.0,311879.99999999994,7796999.999999999,0.4,2.0,2024-07-02,2024-07-09,8.0,3898499.9999999995,2.0,7796999.999999999,467819.99999999994,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",779700.0,0.004,3118.8,0.85,662745.0,60.0,15.0,60.0,46782.0,0.03221855975785967,0.9,3118800.0,311879.99999999994,7796999.999999999,0.4,2.0,2024-07-02,2024-07-09,8.0,3898499.9999999995,2.0,7796999.999999999,467819.99999999994,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",779700.0,0.004,3118.8,0.85,662745.0,60.0,15.0,60.0,46782.0,0.03221855975785967,0.9,3118800.0,311879.99999999994,7796999.999999999,0.4,2.0,2024-07-02,2024-07-09,8.0,3898499.9999999995,2.0,7796999.999999999,467819.99999999994,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",779700.0,0.004,3118.8,0.85,662745.0,60.0,15.0,60.0,46782.0,0.03221855975785967,0.9,3118800.0,311879.99999999994,7796999.999999999,0.4,2.0,2024-07-02,2024-07-09,8.0,3898499.9999999995,2.0,7796999.999999999,467819.99999999994,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",779700.0,0.004,3118.8,0.85,662745.0,60.0,15.0,60.0,46782.0,0.03221855975785967,0.9,3118800.0,311879.99999999994,7796999.999999999,0.4,2.0,2024-07-02,2024-07-09,8.0,3898499.9999999995,2.0,7796999.999999999,467819.99999999994,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",779700.0,0.004,3118.8,0.85,662745.0,60.0,15.0,60.0,46782.0,0.03221855975785967,0.9,3118800.0,311879.99999999994,7796999.999999999,0.4,2.0,2024-07-02,2024-07-09,8.0,3898499.9999999995,2.0,7796999.999999999,467819.99999999994,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",779700.0,0.004,3118.8,0.85,662745.0,60.0,15.0,60.0,46782.0,0.03221855975785967,0.9,3118800.0,311879.99999999994,7796999.999999999,0.4,2.0,2024-07-02,2024-07-09,8.0,3898499.9999999995,2.0,7796999.999999999,467819.99999999994,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,YouTube,Desktop & Mobile,Bumper,6 sec Video - Bumper,CPM,"MF 25-44 - Affinity - Shoppers, Light TV Viewers",779700.0,0.004,3118.8,0.85,662745.0,60.0,15.0,60.0,46782.0,0.03221855975785967,0.9,3118800.0,311879.99999999994,7796999.999999999,0.4,2.0,2024-07-02,2024-07-09,8.0,3898499.9999999995,2.0,7796999.999999999,467819.99999999994,,,2.13,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,335389.125,0.003,1006.167375,0.85,285080.75625,285.0,95.0,285.0,95585.900625,0.06582959367481934,1.0,1788742.0,0.0,4471855.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,335389.125,0.003,1006.167375,0.85,285080.75625,285.0,95.0,285.0,95585.900625,0.06582959367481934,1.0,1788742.0,0.0,4471855.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,335389.125,0.003,1006.167375,0.85,285080.75625,285.0,95.0,285.0,95585.900625,0.06582959367481934,1.0,1788742.0,0.0,4471855.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,335389.125,0.003,1006.167375,0.85,285080.75625,285.0,95.0,285.0,95585.900625,0.06582959367481934,1.0,1788742.0,0.0,4471855.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,335389.125,0.003,1006.167375,0.85,285080.75625,285.0,95.0,285.0,95585.900625,0.06582959367481934,1.0,1788742.0,0.0,4471855.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,335389.125,0.003,1006.167375,0.85,285080.75625,285.0,95.0,285.0,95585.900625,0.06582959367481934,1.0,1788742.0,0.0,4471855.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,335389.125,0.003,1006.167375,0.85,285080.75625,285.0,95.0,285.0,95585.900625,0.06582959367481934,1.0,1788742.0,0.0,4471855.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
Entertainment,25-44,Delhi NCR,Video,PMP,Desktop & Mobile,Run across OTT,Non-Skip| Video 25 Sec ,CPM,MF 25-44| Online Shoppers with 20k+ handsets,335389.125,0.003,1006.167375,0.85,285080.75625,285.0,95.0,285.0,95585.900625,0.06582959367481934,1.0,1788742.0,0.0,4471855.0,0.4,1.5,2024-07-02,2024-07-09,8.0,,,,,,Yes,6.2,8,pd_plan.xlsx,Media Plan Phase 1
