Geo/Cluster,Genre,Publisher,Devices,Section,Ad Unit,Creative,Language,Ad Size,Targeting,Deal Type,Amazon/Rufus,Personalization,DV,Est Imp,CTR%,VTR,Est Video Views,Est Clicks,Reach,Avg Freq,Net Rate,Total Net Cost,eCPM,eCPC,Reach %,Universe,Start Date,End Date,Rate,cost,5% Buffer,Cost + Buffer,Rate.1,cost.1,5% Buffer.1,Cost + Buffer.1,Total_Days,Campaign Name,Phase/inputs
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,CTV,Instream,Video Ad,Thematic Female+Male,Hinglish,30 Sec,25+ MF; combined men's & women's fashion,Cost per view,Rufus,N,Y,127966.21948051944,,0.4,51186.48779220778,0.0,1791527.0727272723,3.0,0.55,28152.568285714282,220.0,0.0,0.6759311306677082,2650458.0,2024-04-01,2024-05-12,2.13,11447.857994727268,572.3928997363635,12020.250894463632,1.43,7685.651141999998,384.2825570999999,8069.933699099998,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,Desktop+Mobile,Instream,Video Ad,Thematic Female,Hinglish,30 Sec,25+ MF; Women's Fashion,Cost per view,Rufus,N,Y,305891.921615362,0.002,0.37,113180.01099768394,611.7838432307241,2987781.559964001,4.3,0.4,45272.00439907358,148.0,74.0,0.3079551898586695,9702001.0,2024-04-01,2024-05-12,2.13,27365.09130771028,1368.254565385514,28733.345873095794,1.43,18371.86881221864,918.593440610932,19290.462252829573,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,Desktop+Mobile,Instream,Video Ad,Thematic Female,Hinglish,30 Sec,25+ MF; Women's Fashion,Cost per view,Rufus,N,Y,305891.921615362,0.002,0.37,113180.01099768394,611.7838432307241,2987781.559964001,4.3,0.4,45272.00439907358,148.0,74.0,0.3079551898586695,9702001.0,2024-04-01,2024-05-12,2.13,27365.09130771028,1368.254565385514,28733.345873095794,1.43,18371.86881221864,918.593440610932,19290.462252829573,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,Desktop+Mobile,Instream,Video Ad,Thematic Female,Hinglish,30 Sec,25+ MF; Women's Fashion,Cost per view,Rufus,N,Y,305891.921615362,0.002,0.37,113180.01099768394,611.7838432307241,2987781.559964001,4.3,0.4,45272.00439907358,148.0,74.0,0.3079551898586695,9702001.0,2024-04-01,2024-05-12,2.13,27365.09130771028,1368.254565385514,28733.345873095794,1.43,18371.86881221864,918.593440610932,19290.462252829573,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,Desktop+Mobile,Instream,Video Ad,Thematic Female,Hinglish,30 Sec,25+ MF; Women's Fashion,Cost per view,Rufus,N,Y,305891.921615362,0.002,0.37,113180.01099768394,611.7838432307241,2987781.559964001,4.3,0.4,45272.00439907358,148.0,74.0,0.3079551898586695,9702001.0,2024-04-01,2024-05-12,2.13,27365.09130771028,1368.254565385514,28733.345873095794,1.43,18371.86881221864,918.593440610932,19290.462252829573,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,Desktop+Mobile,Instream,Video Ad,Thematic Female,Hinglish,30 Sec,25+ MF; Women's Fashion,Cost per view,Rufus,N,Y,305891.921615362,0.002,0.37,113180.01099768394,611.7838432307241,2987781.559964001,4.3,0.4,45272.00439907358,148.0,74.0,0.3079551898586695,9702001.0,2024-04-01,2024-05-12,2.13,27365.09130771028,1368.254565385514,28733.345873095794,1.43,18371.86881221864,918.593440610932,19290.462252829573,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
Delhi+NCR,Entertainment,Youtube,Desktop+Mobile,Instream,Video Ad,Thematic Female,Hinglish,30 Sec,25+ MF; Women's Fashion,Cost per view,Rufus,N,Y,305891.921615362,0.002,0.37,113180.01099768394,611.7838432307241,2987781.559964001,4.3,0.4,45272.00439907358,148.0,74.0,0.3079551898586695,9702001.0,2024-04-01,2024-05-12,2.13,27365.09130771028,1368.254565385514,28733.345873095794,1.43,18371.86881221864,918.593440610932,19290.462252829573,42,XCIC24IN00H_Amz Fashion Thematic H1 24,Core
